cbcl_q02_p,cbcl_q26_p,cbcl_q28_p,cbcl_q39_p,cbcl_q43_p,cbcl_q63_p,cbcl_q67_p,cbcl_q72_p,cbcl_q73_p,cbcl_q81_p,cbcl_q82_p,cbcl_q90_p,cbcl_q96_p,cbcl_q99_p,cbcl_q101_p,cbcl_q105_p,cbcl_q106_p,Count
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,159
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1
0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,49
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6
0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,17
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
