cbcl_q01_p,cbcl_q04_p,cbcl_q08_p,cbcl_q10_p,cbcl_q13_p,cbcl_q17_p,cbcl_q41_p,cbcl_q61_p,cbcl_q78_p,cbcl_q80_p,Count
0,1,1,1,0,0,0,1,1,1,5
0,1,1,1,0,0,0,1,2,0,4
0,1,1,1,0,0,0,2,1,0,2
0,1,1,1,0,0,0,2,2,0,1
0,1,1,1,0,0,1,0,0,0,9
0,1,1,1,0,0,1,0,1,0,96
0,1,1,1,0,0,1,0,1,1,4
0,1,1,1,0,0,1,0,2,0,9
0,1,1,1,0,0,1,1,0,0,1
0,1,1,1,0,0,1,1,0,1,1
0,1,1,1,0,0,1,1,1,0,30
0,1,1,1,0,0,1,1,1,1,2
0,1,1,1,0,0,1,1,2,0,7
0,1,1,1,0,0,1,1,2,1,1
0,1,1,1,0,0,1,2,1,0,1
0,1,1,1,0,0,1,2,2,0,1
0,1,1,1,0,0,2,0,1,0,6
0,1,1,1,0,0,2,1,0,0,1
0,1,1,1,0,0,2,1,2,0,2
0,1,1,1,0,1,0,0,0,0,10
0,1,1,1,0,1,0,0,0,1,1
0,1,1,1,0,1,0,0,1,0,63
0,1,1,1,0,1,0,0,1,1,5
0,1,1,1,0,1,0,0,1,2,1
0,1,1,1,0,1,0,0,2,0,5
0,1,1,1,0,1,0,0,2,1,2
0,1,1,1,0,1,0,1,0,1,1
0,1,1,1,0,1,0,1,1,0,10
0,1,1,1,0,1,0,1,1,1,2
0,1,1,1,0,1,0,1,2,0,2
0,1,1,1,0,1,0,1,2,2,1
0,1,1,1,0,1,0,2,2,0,1
0,1,1,1,0,1,0,2,2,1,1
0,1,1,1,0,1,1,0,0,0,1
0,1,1,1,0,1,1,0,1,0,51
0,1,1,1,0,1,1,0,1,1,17
0,1,1,1,0,1,1,0,2,0,7
0,1,1,1,0,1,1,0,2,1,2
0,1,1,1,0,1,1,0,2,2,1
0,1,1,1,0,1,1,1,1,0,10
0,1,1,1,0,1,1,1,1,1,4
0,1,1,1,0,1,1,1,1,2,1
0,1,1,1,0,1,1,1,2,0,1
0,1,1,1,0,1,1,1,2,2,1
0,1,1,1,0,1,1,2,2,0,1
0,1,1,1,0,1,1,2,2,1,1
0,1,1,1,0,1,2,0,1,0,1
0,1,1,1,0,1,2,0,1,1,2
0,1,1,1,0,1,2,0,2,0,1
0,1,1,1,0,1,2,1,1,0,1
0,1,1,1,0,1,2,2,2,0,1
0,1,1,1,0,2,0,0,1,0,5
0,1,1,1,0,2,0,0,1,1,1
0,1,1,1,0,2,0,0,2,0,3
0,1,1,1,0,2,0,0,2,1,1
0,1,1,1,0,2,1,0,1,0,2
0,1,1,1,0,2,1,0,1,1,1
0,1,1,1,0,2,1,0,2,0,1
0,1,1,1,0,2,1,0,2,1,1
0,1,1,1,0,2,1,0,2,2,1
0,1,1,1,0,2,1,1,1,0,2
0,1,1,1,0,2,1,1,1,1,1
0,1,1,1,0,2,1,2,1,0,1
0,1,1,1,1,0,0,0,1,0,4
0,1,1,1,1,0,0,1,1,0,3
0,1,1,1,1,0,1,0,0,0,1
0,1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,0,1,0,2,1,1
0,1,1,1,1,0,1,1,1,0,2
0,1,1,1,1,0,1,1,1,1,2
0,1,1,1,1,1,0,0,0,0,1
0,1,1,1,1,1,0,0,1,0,5
0,1,1,1,1,1,0,0,1,1,3
0,1,1,1,1,1,0,0,2,1,1
0,1,1,1,1,1,0,1,1,0,1
0,1,1,1,1,1,0,1,1,1,2
0,1,1,1,1,1,0,1,2,0,1
0,1,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,0,1,0,7
0,1,1,1,1,1,1,0,1,1,7
0,1,1,1,1,1,1,0,2,1,1
0,1,1,1,1,1,1,1,1,0,5
0,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,2,0,1,1,1
0,1,1,1,1,1,2,1,1,0,1
0,1,1,1,1,1,2,1,2,1,1
0,1,1,1,1,2,0,0,0,1,1
0,1,1,1,1,2,0,0,1,0,1
0,1,1,1,1,2,0,0,1,1,1
0,1,1,1,1,2,1,0,1,0,1
0,1,1,1,1,2,1,0,2,0,1
0,1,1,1,1,2,1,0,2,1,1
0,1,1,1,2,1,0,0,1,1,1
0,1,1,1,2,1,1,0,2,0,1
0,1,1,1,2,1,1,0,2,2,1
0,1,1,2,0,0,0,0,0,0,2
0,1,1,2,0,0,0,0,1,0,8
0,1,1,2,0,0,0,0,2,0,3
0,1,1,2,0,0,0,1,0,0,1
0,1,1,2,0,0,0,1,2,1,1
0,1,1,2,0,0,1,0,0,0,2
0,1,1,2,0,0,1,0,1,0,12
0,1,1,2,0,0,1,0,2,0,4
0,1,1,2,0,0,1,0,2,1,2
0,1,1,2,0,0,1,1,1,0,2
0,1,1,2,0,0,1,1,2,0,1
0,1,1,2,0,0,2,0,1,0,2
0,1,1,2,0,0,2,0,2,0,3
0,1,1,2,0,0,2,1,2,0,1
0,1,1,2,0,0,2,2,2,0,1
0,1,1,2,0,1,0,0,1,0,3
0,1,1,2,0,1,0,0,2,0,1
0,1,1,2,0,1,0,0,2,1,1
0,1,1,2,0,1,0,1,0,0,1
0,1,1,2,0,1,0,1,1,0,1
0,1,1,2,0,1,1,0,1,0,8
0,1,1,2,0,1,1,0,1,1,1
0,1,1,2,0,1,1,0,2,0,3
0,1,1,2,0,1,1,0,2,1,1
0,1,1,2,0,1,1,1,1,0,2
0,1,1,2,0,1,1,1,2,0,1
0,1,1,2,0,1,2,0,1,0,1
0,1,1,2,0,1,2,0,2,0,2
0,1,1,2,0,1,2,2,2,1,1
0,1,1,2,0,2,1,0,1,2,2
0,1,1,2,0,2,1,0,2,0,1
0,1,1,2,0,2,1,2,2,0,1
0,1,1,2,0,2,2,0,2,0,1
0,1,1,2,1,0,1,0,2,0,1
0,1,1,2,1,1,0,0,1,0,1
0,1,1,2,1,1,1,0,1,1,1
0,1,1,2,1,1,1,0,2,1,2
0,1,1,2,1,1,2,1,2,1,1
0,1,1,2,2,2,1,0,1,2,1
0,1,1,2,2,2,1,0,2,2,1
0,1,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,0,0,1,0,2
0,1,2,0,0,0,0,0,2,0,1
0,1,2,0,0,0,0,1,1,0,1
0,1,2,0,0,0,0,1,2,0,1
0,1,2,0,0,0,0,1,2,1,1
0,1,2,0,0,0,1,0,1,0,1
0,1,2,0,0,0,1,0,2,1,1
0,1,2,0,0,0,2,1,1,0,1
0,1,2,0,0,1,0,0,1,0,1
0,1,2,0,0,1,0,0,2,0,2
0,1,2,0,0,1,0,0,2,1,2
0,1,2,0,0,1,0,1,2,0,1
0,1,2,0,0,1,0,2,0,0,1
0,1,2,0,0,1,0,2,1,1,1
0,1,2,0,0,1,1,0,1,0,1
0,1,2,0,0,1,1,0,2,1,3
0,1,2,0,0,1,1,1,1,0,1
0,1,2,0,0,1,1,1,1,1,1
0,1,2,0,0,1,1,2,0,1,1
0,1,2,0,0,1,2,2,2,0,1
0,1,2,0,0,2,0,0,2,0,1
0,1,2,0,0,2,0,1,1,0,1
0,1,2,0,0,2,0,1,1,1,1
0,1,2,0,0,2,1,0,2,0,2
0,1,2,0,0,2,1,1,2,1,1
0,1,2,0,1,0,0,0,1,0,2
0,1,2,0,1,0,0,1,2,0,3
0,1,2,0,1,0,1,1,1,1,1
0,1,2,0,1,1,0,1,0,0,1
0,1,2,0,1,1,0,1,1,1,2
0,1,2,0,1,1,0,1,2,0,1
0,1,2,0,1,1,1,0,2,1,1
0,1,2,0,1,1,1,1,2,1,1
0,1,2,0,1,2,0,0,2,0,1
0,1,2,0,2,1,2,1,2,1,1
0,1,2,1,0,0,0,0,0,0,1
0,1,2,1,0,0,0,0,1,0,6
0,1,2,1,0,0,0,0,2,0,5
0,1,2,1,0,0,0,1,1,0,2
0,1,2,1,0,0,0,1,2,0,5
0,1,2,1,0,0,0,2,1,0,1
0,1,2,1,0,0,1,0,1,0,3
0,1,2,1,0,0,1,0,2,0,2
0,1,2,1,0,0,1,1,1,0,2
0,1,2,1,0,0,1,1,2,0,4
0,1,2,1,0,0,2,1,2,0,1
0,1,2,1,0,1,0,0,1,0,3
